,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
5172,5172,Alachua County Public Schools,3501 NE 12th St,GAINESVILLE,FL,32609,29.684787,-82.310389,611110,61111007,Elementary & Secondary Schools,0,10.0,0,10,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5192,5192,Head Start Schools Public,3600 NE 15th St,GAINESVILLE,FL,32609,29.68686,-82.305838,611110,61111007,Elementary & Secondary Schools,0,25.0,0,25,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5198,5198,Marjorie K Rawlings Elementary,3500 NE 15th St,GAINESVILLE,FL,32609,29.684421999999998,-82.309184,611110,61111007,Elementary & Secondary Schools,0,70.0,0,70,3012,677,1370,1642,45%,55%,395,2202,0,11,0,0,404,39,395,13.11420983,73.10756972,0.0,0.36520584,0.0,0.0,13.41301461,1.29482072,4.44,1255,801,824,264,24,896,782,0,70,0,31,0,13,869,1859,16,39,41,77,12,45,106,7,0,180,56,63,0,23,0,12,43393,2.68924303,16.33466135
5232,5232,Hoggetowne Middle School Inc,1717 NE 9th St # A,GAINESVILLE,FL,32609,29.668207000000002,-82.314743,611110,61111007,Elementary & Secondary Schools,0,16.0,0,16,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
5233,5233,Howard W Bishop Middle School,1901 NE 9th St,GAINESVILLE,FL,32609,29.668926000000003,-82.312782,611110,61111007,Elementary & Secondary Schools,0,130.0,0,130,853,437,424,429,50%,50%,794,58,0,1,0,0,0,41,753,93.08323564,6.79953107,0.0,0.11723329,0.0,0.0,0.0,4.80656506,1.92,64,297,294,396,43,435,282,0,0,0,0,0,153,64,779,40,58,50,10,41,13,40,0,18,72,56,7,24,8,0,0,35903,46.07268464,27.19812427
5366,5366,Campus Church of Christ,2720 SW 2nd Ave,GAINESVILLE,FL,32607,29.651156,-82.362873,611110,61111004,Elementary & Secondary Schools,0,6.0,0,6,1297,389,675,622,52%,48%,1297,0,0,0,0,0,0,33,1264,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54433308,3.33,86,931,212,136,22,537,337,0,152,19,0,0,29,860,415,46,33,36,35,45,17,12,0,0,0,9,87,37,0,8,24,29821,7.86430224,60.83269082
5442,5442,Gainesville High School,1900 NW 13th St,GAINESVILLE,FL,32609,29.668793,-82.34055699999999,611110,61111007,Elementary & Secondary Schools,0,190.0,0,190,1809,835,915,894,51%,49%,1707,26,0,49,0,0,27,124,1598,94.3615257,1.43725815,0.0,2.70867883,0.0,0.0,1.49253731,6.85461581,2.17,265,692,352,1000,38,897,664,13,119,0,36,0,65,472,1314,47,29,16,59,9,24,0,62,25,55,95,152,102,28,75,57,72375,20.50856827,4.47761194
5496,5496,Siatech,5301 NE 40th Ter,GAINESVILLE,FL,32609,29.704038,-82.26942700000001,611110,61111007,Elementary & Secondary Schools,0,12.0,0,12,1733,213,868,865,50%,50%,870,816,0,11,0,19,17,77,846,50.20196192,47.08597807,0.0,0.63473745,0.0,1.09636469,0.98095788,4.44316215,2.42,297,460,655,642,45,217,129,0,9,22,7,0,50,247,1398,81,10,21,21,17,30,10,0,6,7,10,0,0,0,0,0,16845,0.0,87.24966622
5672,5672,Instructional Media,3700 NE 53rd Ave,GAINESVILLE,FL,32609,29.704202000000002,-82.277986,611110,61111007,Elementary & Secondary Schools,0,4.0,0,4,645,275,233,412,36%,64%,595,50,0,0,0,0,0,0,595,92.24806202,7.75193798,0.0,0.0,0.0,0.0,0.0,0.0,2.35,61,175,312,194,47,335,335,0,0,0,0,0,0,79,549,19,15,0,33,23,33,10,0,0,37,52,36,17,0,0,0,54375,10.23255814,10.3875969
5914,5914,Stephen Foster Elementary Schl,3800 NW 6th St,GAINESVILLE,FL,32609,29.687757,-82.331964,611110,61111007,Elementary & Secondary Schools,0,75.0,0,75,1380,590,603,777,44%,56%,979,234,0,57,0,32,78,258,826,70.94202899,16.95652174,0.0,4.13043478,0.0,2.31884058,5.65217391,18.69565217,2.34,281,445,522,264,39,714,630,0,0,19,33,0,32,382,948,47,30,88,8,45,26,78,0,22,25,54,45,61,32,29,0,38962,13.76811594,23.39939024
6073,6073,Medical Academy,3519 SW 86th St,GAINESVILLE,FL,32608,29.622009000000002,-82.433131,611110,61111007,Elementary & Secondary Schools,0,15.0,0,15,2022,809,986,1036,49%,51%,1786,128,42,17,0,0,49,13,1773,88.32838773,6.33036597,2.07715134,0.84075173,0.0,0.0,2.42334322,0.64292779,2.5,596,239,780,814,49,845,682,0,0,0,0,0,163,497,1379,0,66,18,0,16,42,0,49,74,68,26,44,160,25,9,212,102566,28.33827893,0.59347181
