ogc_fid,total_businesses,total_apartments,number_of_crimes,total_pop,households,male,female,white,black,ameri_es,asian,hawn_pi,other,multi_race,hispanic,age_below_18,age_18_40,age_40_65,age_65,age_median,tran_total,tran_car,tran_moto,tran_bike,tran_pub,tran_walk,tran_other,tran_home,student,less_10k,10k_14k,15k_19k,20k_24k,25k_29k,30k_34k,35k_39k,40k_44k,45k_49k,50k_59k,60k_74k,75k_99k,100k_124k,125k_149k,150k_199k,120k_more
71,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5,0,177,2245,898,1183,1062,1558,348,0,110,0,76,153,291,403,746,850,492,40,1061,1022,25,0,3,0,0,11,684,21,0,18,0,81,140,63,56,19,150,100,100,45,59,6,40
73,3,1,382,1791,629,853,938,1447,139,6,180,0,0,19,0,305,535,493,916,44,1063,957,0,0,0,30,16,60,505,23,0,15,0,0,46,25,16,29,15,18,89,96,157,71,29
74,0,2,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,328,1069,436,488,581,704,261,0,80,0,0,24,38,128,277,584,160,52,509,468,41,0,0,0,0,0,255,0,52,0,14,15,0,48,0,72,4,39,138,40,14,0,0
76,3,0,2159,747,314,334,413,400,316,0,19,0,12,0,93,88,432,161,132,32,418,268,0,150,0,0,0,0,361,65,50,43,37,12,0,12,0,27,38,0,13,0,17,0,0
77,0,1,1508,1270,344,937,333,1079,63,0,21,0,0,107,137,7,1178,72,26,22,487,223,0,63,0,40,0,161,1097,117,78,54,13,0,0,82,0,0,0,0,0,0,0,0,0
78,0,0,31,4209,451,2211,1998,2937,420,18,528,0,113,193,667,139,3977,93,0,20,928,309,16,50,271,201,0,81,3956,86,50,114,107,37,29,14,3,0,4,0,7,0,0,0,0
79,6,0,355,1313,20,454,859,1025,96,4,104,0,31,53,218,30,1244,31,16,19,210,53,0,39,14,87,0,17,1270,4,4,0,0,0,9,0,0,0,0,3,0,0,0,0,0
80,6,8,2456,1555,836,829,726,882,599,19,24,0,0,31,26,262,711,482,200,28,822,678,15,87,12,18,0,12,488,171,104,89,40,86,57,17,15,35,128,15,34,31,14,0,0
